,Time for HR (s),HR (BPM),Avg HR (BPM)
601,459.776,78.12500000000283,77.0865578194048
602,460.544,78.94736842105358,77.00596465370533
603,461.304,77.31958762886494,76.95556142789889
604,462.08,78.94736842105358,76.86784212965321
605,462.84,78.94736842104767,76.8323937071081
606,463.6,75.75757575757832,76.79694528456287
607,464.392,72.11538461538517,76.74433831706229
608,465.224,72.81553398058144,76.72789094864125
609,466.048,69.44444444444638,76.69665071121541
610,466.912,68.80733944954017,76.65208743135803
611,467.784,70.09345794392569,76.55582780539545
612,468.64,73.5294117647031,76.41682307923479
613,469.456,75.75757575757832,76.29663077154244
614,470.248,78.12499999999704,76.21603760584284
615,471.016,78.94736842105358,76.09576269175355
616,471.776,81.52173913043589,75.93412476071904
617,472.512,80.64516129032569,75.75243871420733
618,473.256,78.94736842104767,75.48773283185449
619,474.016,73.52941176470821,75.23418313611414
620,474.832,70.09345794392569,75.06005903311706
621,475.688,66.37168141592947,74.89288578083747
622,476.592,68.18181818181853,74.73225493971594
623,477.472,67.567567567565,74.68856561932758
624,478.36,68.18181818181853,74.68856561932759
625,479.24,70.75471698113097,74.65915385462178
626,480.088,75.75757575757832,74.64459357506433
627,480.88,78.12499999999704,74.58209357506436
